Registration No,Generic name,Trade name,Strength value,Unit of strength ,Dosage Form,Route of Administration,Volume,Unit of volume,Package type,Shelf-life (mon),Package size,Legal status,Product control,Storage conditions,ATCvet,Target Animals,Type,Withdrawal Period (days),Manufacturer name,Country of Manufacturer,Marketing Company,Nationality,MAH (Agent name),Authorization status,Marketed,Marketing status
6820036000901,Oxytetracycline,Pharma Oxytetracycline 250  ,250,mg/g  ,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Calf, Camel, Cattle, Goat, Sheep, Poultry, Turkey",meat,14,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,Valid,Marketed,Marketed
4000016003701,Clopidol,Clopivet,125,mg/g  ,Powder for oral solution,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,,"Poultry, Rabbit, Turkey",meat,7,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000036004401,Oxfendazole,Fenazol,22.65,mg/ml,Oral suspension,Oral,500,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QP52AC02,"Cattle, sheep ","meat, milk","cattle: 19, sheep: 24, cattle: 3.5 ",MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
4000036004402,Oxfendazole,Fenazol,22.65,mg/ml,Oral suspension,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QP52AC02,"Cattle, sheep ","meat, milk","cattle: 19, sheep: 24, cattle: 3.5 ",MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
6820046000201,Ascorbic Acid,MONTA-C,100,%,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11GA01,"Poultry, Sheep, Goat, calves, cattle, Horse, Camel ",,,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
6820046000202,Ascorbic Acid,MONTA-C,100,%,Powder for oral solution,Oral,1000,g,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QA11GA01,"Poultry, Sheep, Goat, calves, cattle, Horse, Camel ",,,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
6820046001201,Tylosin Tartarate,Tylojat 100%,1000,mg/g  ,Powder for oral solution,Oral,500,g,Bottle,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA90,"  Chickens, Turkeys",meat,"Chickens: 1, Turkeys: 5",Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
2500016004501,Fipronil,Frontline Spray,2.5,mg/ml,"Cutaneous spray, solution",Topical,100,ml,Bottle,24,1,Prescription,Uncontrolled,,QP53AX15,"Dog, cat",,,Merial (Rhone Merieux),FRANCE,Merial (Rhone Merieux),FRANCE,Abdulrehman Algosaibi G.T.C.,Valid,Marketed,Marketed
2500016004502,Fipronil,Frontline Spray,2.5,mg/ml,"Cutaneous spray, solution",Topical,250,ml,Bottle,24,1,Prescription,Uncontrolled,,QP53AX15,"Dog, cat",,,Merial (Rhone Merieux),FRANCE,Merial (Rhone Merieux),FRANCE,Abdulrehman Algosaibi G.T.C.,Valid,Marketed,Marketed
6820016004601,Neomycin Sulphate,Savemycine 20%,200,mg/g  ,Powder for oral solution,Oral,500,g,jar,24,1,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Goat, Sheep, Turkey",meat,7,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
4000016001203,Tylosin Tartarate,Tylorate,833.34,mg/g  ,Powder for oral solution,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA90,"Poultry, Turkey",meat,7,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001204,Tylosin Tartarate,Tylorate,833.34,mg/g  ,Powder for oral solution,Oral,500,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA90,"Poultry, Turkey",meat,7,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
4000016001205,Tylosin Tartarate,Tylorate,833.34,mg/g  ,Powder for oral solution,Oral,1000,g,Sachet,36,1,Prescription,Uncontrolled,Store below 25°C,QJ01FA90,"Poultry, Turkey",meat,7,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
6820036003901,"Vitamins, Minerals, Amino Acids",Pharma Supervitamix Plus,,,Powder for oral solution,Oral,1000,g,Bottle,24,1,OTC,Uncontrolled,,QA11JB,,,,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,Valid,Marketed,Marketed
5600016004701,Vitamin B complex,Hepafor,,,Solution for injection,,100,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,,,,,KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Mohamed Ahmed Bin zahaba Al Ghamdi Store,Valid,Marketed,Marketed
4000016004102,Furosemide,Furosix,50,mg/ml,Solution for injection,Intravenous (not otherwise specified),50,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,QC03CA01,"Horse, cattle, Dogs, Cats","meat, milk","2, 2",The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,The Arab Pesticides and Veterinary Drugs Manufacturing Co.,JORDAN,Falcon’s Care Center,Valid,Marketed,Marketed
6820016000403,Doxycycline Hydrochloride,Pharma Dox 50%,500,mg/g  ,Powder for oral solution,Oral,500,g,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA02,"Calf, Cattle, Poultry",meat,14,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,SAUDI ARABIA,Pharma Care Leading Manufacturing Company Ltd,Valid,Marketed,Marketed
6820046004801,Buparvaquone,Theilex,50,mg/ml,Solution for injection,,10,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QP51AX22,Cattle,"meat, milk","42, 7",Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
6820046004802,Buparvaquone,Theilex,50,mg/ml,Solution for injection,,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QP51AX22,Cattle,"meat, milk","42, 7",Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
6820046004803,Buparvaquone,Theilex,50,mg/ml,Solution for injection,,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QP51AX22,Cattle,"meat, milk","42, 7",Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
7240026000401,Doxycycline Hyclate,Pollodoxin,100,mg/ml,Oral solution,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,QJ01AA02,"Poultry, Turkeys",meat,7,Industrial Veterinaria S.A. (INVESA),SPAIN,Industrial Veterinaria S.A. (INVESA),SPAIN,Agricultural Machinery & Material Company Ltd,Valid,Marketed,Marketed
7240036003901,"Vitamins, Minerals",Fosvitan,,,Solution for injection,,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QA11JB,"Cattle, Goat, Sheep",,,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Al-Enayah Est. For Agriculture & Veterinary,Valid,Marketed,Marketed
4000056001801,Dexamethasone Sodium Phosphate,Avicort,2,mg/ml,Solution for injection,Intravenous (not otherwise specified),100,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,,"Horse, cattle, Dogs, Cats","meat, milk","21, 3",Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000056001802,Dexamethasone Sodium Phosphate,Avicort,2,mg/ml,Solution for injection,Intravenous (not otherwise specified),50,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,,"Horse, cattle, Dogs, Cats","meat, milk","21, 3",Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000056001701,"Vitamin A, Vitamin D3, Vitamin E",Ademin,,,Solution for injection,,100,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 25°C,,,,,Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000056001201,Tylosin Tartarate,Tylosin 20% Inj.,200,mg/ml,Solution for injection,,100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01FA90,Cattle,meat,21,Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000056000501,Enrofloxacin,Avitryl-10,100,mg/ml,Solution for injection,,50,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01MA90,"Cattle, Calves","meat, milk","14, 7",Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000056000502,Enrofloxacin,Avitryl-10,100,mg/ml,Solution for injection,,100,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QJ01MA90,"Cattle, Calves","meat, milk","14, 7",Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
4000046000301,Colistin Sulphate,Colidad,800000,IU/g,Powder for oral solution,Oral,100,g,Sachet,36,1,Prescription,Uncontrolled,Store below 30°C,,"Calves, Lambs, Poultry",meat,7,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046004901,Rafoxanide,Rafoxidad 3% suspension,30,mg/ml,Oral suspension,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QP52AG05,"Sheep, Cattle",meat,60,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046005001,"Diminazene Aceturate, Phenazone",Trypanodad,"445, 555",mg/g  ,Powder for injection*,,2.36,g,Vial,36,5,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Camels, Horses and Sheep","meat, milk","28, 10",Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000036002701,Bromhexine HCl,Bromac,10,mg/ml,Oral solution,Oral,1000,ml,Bottle,24,1,OTC,Uncontrolled,Store below 25°C,QR05CB02,"Cat, Cattle, Dog, Poultry",meat,4,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
6820046001701,"Vitamin A, vitamin D3, vitamin E",Monta 3,,,Oral solution,Oral,1000,ml,Bottle,24,1,OTC,Uncontrolled,Store below 25°C,,,,,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
6820046000203,Ascorbic Acid,MONTA-C,100,%,Powder for oral solution,Oral,100,g,Sachet,24,1,OTC,Uncontrolled,Store below 25°C,QA11GA01,,,,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,SAUDI ARABIA,Montajat Vet. Pharmaceutical Co. LTD ,Valid,Marketed,Marketed
4000036005101,Doramectin,Medoral,10,mg/ml,Solution for injection,,50,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QP54AA03,"Cattle, sheep",meat,35,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
5600016000901,Oxytetracycline hydrochloride,Oxykel 20 L.A.,200,mg/ml,Solution for injection,Intravenous (not otherwise specified),100,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Camel, Cattle, Sheep, Goats","meat, milk","28, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Altaher International Establishment,Valid,Marketed,Marketed
5600016000902,Oxytetracycline hydrochloride,Oxykel 20 L.A.,200,mg/ml,Solution for injection,Intravenous (not otherwise specified),50,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Camel, Cattle, Sheep, Goats","meat, milk","28, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Altaher International Establishment,Valid,Marketed,Marketed
5600016000903,Oxytetracycline hydrochloride,Oxykel 20 L.A.,200,mg/ml,Solution for injection,Intravenous (not otherwise specified),30,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,QJ01AA06,"Camel, Cattle, Sheep, Goats","meat, milk","28, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Altaher International Establishment,Valid,Marketed,Marketed
4000036005201,Ceftiofur Hydrochloride,Medafur,50,mg/ml,Suspension for injection,,100,ml,Vial,24,,Prescription,Uncontrolled,Store below 25°C,QJ01DD90,Cattle ,meat,8,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
5600016001201,Tylosin Tartarate,Tyloxan 20%,200,mg/ml,Solution for injection,,100,ml,Vial,24,1,Prescription,Uncontrolled,Store in a refrigerator (2°C – 8°C),QJ01FA90,"Camel, Cattle, Horses, Sheep, Goat, Cats, Dogs","meat, milk","28, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Mohamed Ahmed Bin zahaba Al Ghamdi Store,Valid,Marketed,Marketed
5600016005301,Phenylbutazone ,Phenylbuta-kel 20% ,200,mg/ml,Solution for injection,Intravenous (not otherwise specified),100,ml,Vial,24,1,Prescription,Uncontrolled,Store below 25°C,QM01AA01,,"meat, milk","21, 7",KELA LABORATORIA,BELGIUM,Kela Laboratoria N.V.,BELGIUM,Altaher International Establishment,Valid,Marketed,Marketed
4000056005401,"Magnesium Carbonate, Sodium Carbonate, Nux Vomica",Laxavet,"891, 99, 9.9",mg/g  ,Powder for oral solution,Oral,101,g,Sachet,36,1,OTC,Uncontrolled,Store below 25°C,,"Cow, Horse, Camel, Buffaloes, Calves, Sheep, Goats",,,Arab Veterinary Industrial Company (AVICO),JORDAN,Arab Veterinary Industrial Company (AVICO),JORDAN,Mansour Al Mosaed Branch Co. for Trading & Contracting,Valid,Marketed,Marketed
7240036005501,Vitamins,Superschoc,,mg/g  ,Powder for oral solution,Oral,500,g,Sachet,36,1,OTC,Uncontrolled,Store below 25°C,,,,,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Al-Enayah Est. For Agriculture & Veterinary,Valid,Marketed,Marketed
6820016000303,Colistin Sulphate,Coli Sav,1000000,IU/ml,Oral solution,Oral,200,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,,"Goat, Poultry, Sheep",meat,7,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
4000046002601,Amprolium HCL,Amprodad 25%,250,mg/ml,Oral solution,Oral,1000,ml,Bottle,36,1,Prescription,Uncontrolled,,QP51AX09,"Poultry, calves ",,,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046005601,Levamisole Hydrochloride,Levamidad 300 Bolus,300,mg/g  ,,Oral,48,,box,36,4,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Sheep, Goat",meat,3,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046002501,Albendazole,Albenzodad 600 bolus,600,,,Oral,20,,Box,36,1,Prescription,Uncontrolled,Store below 30°C,QP52AC11,"Cattle, sheep, goat, calves",meat,"Sheep, goat: 10, cattle, camels: 28",Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
7240036005502,Vitamins,Supersan Soluble,,mg/ml,Oral solution,Oral,1000,ml,Bottle,24,1,OTC,Uncontrolled,,,,,,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Al-Enayah Est. For Agriculture & Veterinary,Valid,Marketed,Marketed
4000036005701,Deltamethrin,Deltavet,50,g/l,Concentrate for dip emulsion,Topical,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QP53AC11,"Cattle, Sheep",meat,"Cattle: 20,  Sheep: 7 ",MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,MEDMAC for Manufacturing Agricultural Chemicals and Veterinary Products Company Ltd,JORDAN,Mohammed Adel Kaddourah Company,Valid,Marketed,Marketed
4000046000501,Enrofloxacin  ,Dadtril 10% ,100,mg/ml,Solution for injection,,100,ml,Bottle,36,1,Prescription,Uncontrolled,Store below 30°C,QJ01MA90,"Cattle, sheep. Goat",meat,14,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046000401,Doxycycline Hydrochloride,Doxydad,200,mg/g  ,Powder for oral solution,Oral,500,g,Bottle,36,1,Prescription,Uncontrolled,Store below 30°C,QJ01AA02,"Poultry, calves, lambs, kids",meat,14,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046000402,Doxycycline Hydrochloride,Doxydad,200,mg/g  ,Powder for oral solution,Oral,1000,g,Bottle,36,1,Prescription,Uncontrolled,Store below 30°C,QJ01AA02,"Poultry, calves, lambs, kids",meat,14,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
3600026002801,Pentosan Polysulfate Sodium,Pentosan Equine ,250,mg/ml,Solution for injection,Intraarticular,6,ml,Vial,24,,Prescription,Uncontrolled,Store in a refrigerator (2°C – 8°C),,Horses,meat,20,Ceva Animal Health Pty Ltd ,AUSTRALIA,Ceva Animal Health Pty Ltd ,AUSTRALIA,National veterinary company,Valid,Marketed,Marketed
7240036003201,Chlortetracycline Hydrochloride ,Super’s Spray,3.56/200,g/ml,Cutaneous spray*,Topical,200,ml,Spray container,24,,Prescription,Uncontrolled,Store below 25°C,QD06AA02,"Bovine, Ovine, Caprine, Equine, Poultry, Dogs, Cats                       ",,,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Laboratorio Farmacologico Super's Diana S.L.,SPAIN,Al-Enayah Est. For Agriculture & Veterinary,Valid,Marketed,Marketed
6820016001801,Dexamethasone Sodium Phosphate,Dexasone Sav ,2,mg/ml,solution for injection,Intravenous (not otherwise specified),50,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Horses, Calves, Sheep ,Goat , Foal, Dogs, Cats","meat, milk","21, 7",Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
4000046005602,Levamisole Hydrochloride,Levamisole 11.8%,118,mg/g  ,Powder for oral solution,Oral,100,g,Sachet,36,,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Sheep, Goat",meat,3,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046005603,Levamisole Hydrochloride,Levamisole 11.8%,118,mg/g  ,Powder for oral solution,Oral,500,g,Sachet,36,,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Sheep, Goat",meat,3,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046001401,Menadione sodium bisulphate,Vitamin K3,125,mg/g  ,Powder for oral solution,Oral,100,g,Sachet,24,,OTC,Uncontrolled,Store below 30°C,,"Calves, Cattle, Sheep, Goat, Poultry",,,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046005801,Flumequine,Flumequine 10%,100,mg/g  ,Powder for oral solution,Oral,100,g,Sachet,36,,Prescription,Uncontrolled,Store below 25°C,QJ01MB07,"Calves, Foals, Kids, Lambs, Poultry, Rabbits",meat,"Calves, Foals, Kids, Lambs: 8, Poultry: 3 ",Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
6820016001902,Sulfamethazine Sodium,Sulphadimidine 100%,1000,mg/g  ,Powder for oral solution,Oral,500,g,jar,24,,Prescription,Uncontrolled,Store below 30°C,,"Cattle, Horses, Cows, Camel, Dogs, Cats ","meat, milk","12, 7",Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),SAUDI ARABIA,Saudi Pharmaceutical Industries (SPI),Valid,Marketed,Marketed
4000046000502,Enrofloxacin,Dadtril 5%,50,mg/ml,solution for injection,,100,ml,Bottle,36,,Prescription,Uncontrolled,Store below 25°C,QJ01MA90,"Cattle, Sheep, Goat",meat,14,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046002101,"Vitamin E, Selenium",Vitamin E + Selenium Solution,"100, 3.2",mg/ml,Oral solution,Oral,500,ml,Bottle,24,,OTC,Uncontrolled,Store below 30°C,,"Horse, Cow, Sheep, Poultry",,,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046002102,"Vitamin E, Selenium",Vitamin E + Selenium Solution,"100, 3.2",mg/ml,Oral solution,Oral,1000,ml,Bottle,24,,OTC,Uncontrolled,Store below 30°C,,"Horse, Cow, Sheep, Poultry",,,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046002502,Albendazole,Albenzodad  2.5% suspension,25,mg/ml,Oral suspension,Oral,500,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QP52AC11,"Cattle, Sheep, Goat",meat,"Sheep, goat: 10, cattle: 28 ",Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046002503,Albendazole,Albenzodad  2.5% suspension,25,mg/ml,Oral suspension,Oral,1000,ml,Bottle,24,1,Prescription,Uncontrolled,Store below 30°C,QP52AC11,"Cattle, Sheep, Goat",meat,"Sheep, goat: 10, cattle: 28 ",Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
4000046005901,"Vitamin A, Vitamin D3, Vitamin E",Adevit liquid,,,Oral solution,Oral,1000,ml,Bottle,24,,OTC,Uncontrolled,Store below 30°C,,"Poultry, Calves, foals, sheep, goat, cows, bulls, horses, rabbit",,,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Dar AlDawa Veterinary and Agricultural Industrial Co. Ltd,JORDAN,Al-Safa Store Co. Ltd. For Medical,Valid,Marketed,Marketed
